Convert susp_529...done	2.2915 mins
Convert susp_11...done	2.073166666666667 mins
Convert susp_201...done	5.3145 mins
Convert susp_582...done	2.7646666666666664 mins
Convert susp_194...done	6.655166666666667 mins
Convert susp_472...done	3.8126666666666664 mins
Convert susp_631...done	2.9283333333333332 mins
Convert susp_271...done	4.5295 mins
Convert susp_876...done	6.127166666666667 mins
Convert susp_971...done	4.440333333333333 mins
Convert susp_605...done	5.041833333333333 mins
Convert susp_100...done	3.8516666666666666 mins
Convert susp_433...done	6.1834999999999996 mins
Convert susp_500...done	4.038 mins
Convert susp_132...done	4.951666666666667 mins
Convert susp_572...done	5.809833333333333 mins
Convert susp_63...done	4.829166666666667 mins
Convert susp_730...done	4.137166666666666 mins
Convert susp_964...done	6.072 mins
Convert susp_860...done	13.792666666666666 mins
Convert susp_333...done	5.0104999999999995 mins
Convert susp_137...done	3.4766666666666666 mins
Convert susp_536...done	4.238166666666666 mins
Convert susp_129...done	4.367666666666667 mins
Convert susp_94...done	7.5840000000000005 mins
Convert susp_251...done	2.6136666666666666 mins
Convert susp_309...done	3.3954999999999997 mins
Convert susp_941...done	3.1775 mins
Convert susp_999...done	3.7863333333333333 mins
Convert susp_685...done	5.537166666666667 mins
Convert susp_345...done	1.939 mins
Convert susp_804...done	2.39 mins
